columna.name;traslation
Marca.temporal;v1
X.Cuál.es.su.correo.electrónico...Opcional.;v2
X.Cuál.es.su.edad..;v3
X.Cual.es.tu.género.;v4
X..Eres.estudiante.foráneo.;v5
X.Actualmente.trabajas.;v6
X.Trabajas.en.un.rubro.orientado.a.ingeniería.en.sistemas.;v7
X.Estás.realizando.práctica.profesional.actualmente.;v8
X.Está.desempeñando.su.práctica.profesional.en.su.primer.opción.de.empresa.;v9
X.Estás.realizando.la.práctica.profesional.cursando.clases.;v10
X.Cuál.es.tu.índice.académico.;v11
X.Cómo.consideras.que.es.tu.rendimiento.académico.;v12
X.Ha.aprendido.nuevas.habilidades.de.forma.autodidacta.;Nuevas_habilidades
X.Cuántas.horas.a.la.semana.dedicas.a.la.investigación.o.estudio.de.tus.clases.;Horas_investigacion
X.Se.ha.sometido.a.entrevistas.para.laborar.o.realizar.práctica.profesional.anteriormente.;Entrevista_sometida
X.Te.han.rechazado.la.solicitud.de.práctica.profesional.anteriormente.en.alguna.empresa..;Rechazo_practica
X.Que.áreas.de.ingeniería.en.sistema.considera.que.mejor.domina.;Area_sistema_dominada
X.Que.área.considera.que.se.le.dificulta.más.;Area_sistema_dificulta
X.En.que.empresa.según.sus.actividades.te.gustaría.aspirar.a.realizar.o.está.realizando.su.practica.profesional.;v13
X.En.que.área.le.gustaría.desempeñar.la.práctica.profesional.;v14
X.Se.ha.informado.bien.sobre.el.área.de.la.empresas.donde.aspira.a.realizar.o.esta.realizando.su.practica.profesional.;v15
X.Qué.tan.importante.considera.el.uso.de.la.tecnología.para.la.búsqueda.de.empleo.o.práctica.profesional.;v16
X.Usaría..un.sitio.web.o.aplicación.gratuita..para.obtener.acceso.a.ofertas.laborales..exclusivas.y..personalizadas.de.acuerdo.a.sus.competencias.e.intereses..;v17
X.Cree.usted.que.tener.ofertas.laborales.o.de.practicas.profesionales.exclusivas.para.estudiantes.de.la.UNAH...ayudaria.con.la.búsqueda.de.los.mismos.;v18
X.Estaría.de.acuerdo.en.recibir.ofertas.laborales.o.de.prácticas.profesionales.en.sus.correo.electrónico.institucional.;v19
